Site_Name,Date,EPA_Site_Name,PM25,Day_of_Year,Day_of_Year(Fraction),AOD_Coincident_Input[440nm],AOD_Coincident_Input[675nm],AOD_Coincident_Input[870nm],AOD_Coincident_Input[1020nm],Angstrom_Exponent_440-870nm_from_Coincident_Input_AOD,AOD_Extinction-Total[440nm],AOD_Extinction-Total[675nm],AOD_Extinction-Total[870nm],AOD_Extinction-Total[1020nm],AOD_Extinction-Fine[440nm],AOD_Extinction-Fine[675nm],AOD_Extinction-Fine[870nm],AOD_Extinction-Fine[1020nm],AOD_Extinction-Coarse[440nm],AOD_Extinction-Coarse[675nm],AOD_Extinction-Coarse[870nm],AOD_Extinction-Coarse[1020nm],Extinction_Angstrom_Exponent_440-870nm-Total,Single_Scattering_Albedo[440nm],Single_Scattering_Albedo[675nm],Single_Scattering_Albedo[870nm],Single_Scattering_Albedo[1020nm],Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Refractive_Index-Real_Part[440nm],Refractive_Index-Real_Part[675nm],Refractive_Index-Real_Part[870nm],Refractive_Index-Real_Part[1020nm],Refractive_Index-Imaginary_Part[440nm],Refractive_Index-Imaginary_Part[675nm],Refractive_Index-Imaginary_Part[870nm],Refractive_Index-Imaginary_Part[1020nm],Asymmetry_Factor-Total[440nm],Asymmetry_Factor-Total[675nm],Asymmetry_Factor-Total[870nm],Asymmetry_Factor-Total[1020nm],Asymmetry_Factor-Fine[440nm],Asymmetry_Factor-Fine[675nm],Asymmetry_Factor-Fine[870nm],Asymmetry_Factor-Fine[1020nm],Asymmetry_Factor-Coarse[440nm],Asymmetry_Factor-Coarse[675nm],Asymmetry_Factor-Coarse[870nm],Asymmetry_Factor-Coarse[1020nm],Sphericity_Factor(%),VolC-T,REff-T,VMR-T,Std-T,VolC-F,REff-F,VMR-F,Std-F,VolC-C,REff-C,VMR-C,Std-C,Solar_Zenith_Angle_for_Measurement_Start(Degrees),Latitude(Degrees),Longitude(Degrees),Elevation(m),N,flag
Bakersfield,5/10/13,Bakersfield-Airport (Planz),22.7,130,130.989734,0.208326,0.10295,0.080282,0.065501,1.425743,0.2088,0.1063,0.0796,0.0692,0.1669,0.0612,0.0324,0.021,0.0419,0.0451,0.0472,0.0482,1.432729,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.679715,0.630617,0.623276,0.63298,0.634446,0.518542,0.434172,0.380859,0.888465,0.790541,0.757486,0.74544,-999,0.076,0.475,1.508,1.465,0.018,0.135,0.145,0.386,0.057,2.473,3.201,0.678,54.070935,35.331506,-119.000008,108,514,2
Bakersfield,5/13/13,Bakersfield-Airport (Planz),21.7,133,133.349815,0.159125333,0.075763333,0.06013,0.046230667,1.463323333,0.160366667,0.078466667,0.0582,0.050333333,0.129933333,0.045466667,0.023866667,0.015533333,0.0304,0.033,0.034333333,0.0348,1.509383667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.685775333,0.646457667,0.645714667,0.658409,0.636759333,0.523484,0.439933667,0.386971333,0.959328333,0.838549,0.80198,0.786733,-999,0.058333333,0.461666667,1.478666667,1.478,0.014666667,0.135333333,0.145666667,0.391,0.043666667,2.531333333,3.245333333,0.661,61.59962,35.331506,-119.000008,108,514,2
Bakersfield,5/16/13,Bakersfield-Airport (Planz),10.8,136,136.0125,0.118855,0.067847,0.055576,0.044344,1.136272,0.1193,0.0701,0.0545,0.0478,0.093,0.0407,0.0236,0.0162,0.0263,0.0294,0.031,0.0315,1.159869,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.723725,0.684915,0.672137,0.672929,0.682519,0.605536,0.533383,0.480102,0.935413,0.816316,0.790846,0.779531,-999,0.041,0.535,1.423,1.37,0.01,0.163,0.178,0.43,0.031,2.031,2.779,0.765,60.126882,35.331506,-119.000008,108,514,2
Bakersfield,5/19/13,Bakersfield-Airport (Planz),30,139,139.4830208,0.1032835,0.05825725,0.05084175,0.0462595,1.08745825,0.1042,0.062175,0.051575,0.047625,0.071175,0.02645,0.01415,0.009425,0.033,0.035725,0.0374,0.0382,1.06251875,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.648693,0.63186475,0.6508235,0.6654805,0.5593565,0.454136,0.41080475,0.38868825,0.8653005,0.77129075,0.74510275,0.73573225,-999,0.05025,0.421,1.399,1.5075,0.01125,0.108,0.11725,0.431,0.0385,2.24775,2.93175,0.6975,60.72787525,35.331506,-119.000008,108,514,2
Bakersfield,5/22/13,Bakersfield-Airport (Planz),9,142,142.6539585,0.151665,0.11024,0.1004175,0.0973155,0.620111,0.15385,0.1134,0.103,0.0988,0.0813,0.03305,0.0182,0.01245,0.07255,0.0804,0.0848,0.08635,0.601676,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.6897155,0.6900365,0.7074275,0.716866,0.5754275,0.51537,0.4923325,0.4748005,0.8269725,0.762464,0.7536925,0.751815,-999,0.0815,0.456,1.384,1.3575,0.015,0.1035,0.117,0.536,0.0665,1.825,2.3985,0.7285,56.437929,35.331506,-119.000008,108,514,2
Bakersfield,5/25/13,Bakersfield-Airport (Planz),10.6,145,145.506059,0.111943,0.071871,0.06504,0.057767,0.818571,0.11305,0.07455,0.0646,0.06055,0.07005,0.0278,0.01585,0.0109,0.043,0.04675,0.04875,0.0496,0.832412,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.768258,0.7217815,0.711133,0.709958,0.671307,0.57674,0.503993,0.4554195,0.982199,0.813084,0.780764,0.7673955,-999,0.068,0.8135,2.2005,1.1995,0.0085,0.1465,0.161,0.4465,0.0595,2.486,3.236,0.681,57.151841,35.331506,-119.000008,108,514,2
Bakersfield,5/31/13,Bakersfield-Airport (Planz),14.6,151,151.4407947,0.096455,0.056201667,0.050449,0.045808333,0.967719667,0.097133333,0.0606,0.0515,0.0483,0.061933333,0.022966667,0.0121,0.008133333,0.0352,0.037633333,0.039366667,0.0402,0.935375333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.673484333,0.658053667,0.672915333,0.681712333,0.556741667,0.458268667,0.41836,0.397137667,0.907414333,0.784590333,0.753948,0.741034667,-999,0.055333333,0.553666667,1.812333333,1.390333333,0.009666667,0.108,0.117666667,0.441,0.045666667,2.486,3.165333333,0.651,57.72368433,35.331506,-119.000008,108,514,2
Bakersfield,6/3/13,Bakersfield-Airport (Planz),15.8,154,154.6360107,0.166297,0.100443667,0.087590333,0.079194333,0.968725333,0.168033333,0.1036,0.087266667,0.081133333,0.109633333,0.040866667,0.021933333,0.014466667,0.058466667,0.062733333,0.065333333,0.066666667,0.981872667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.611158,0.615537,0.643159,0.661905,0.472384667,0.379818,0.360271,0.356057,0.898845,0.773768667,0.741083667,0.730407667,-999,0.1,0.279333333,1.165,1.689,0.028333333,0.082666667,0.088666667,0.421,0.072,2.393,3.082333333,0.668666667,61.02833467,35.331506,-119.000008,108,514,2
Bakersfield,6/6/13,Bakersfield-Airport (Planz),19.8,157,157.419159,0.275931,0.158577,0.131820167,0.117322667,1.102556667,0.278266667,0.161016667,0.131783333,0.119866667,0.195166667,0.072183333,0.039516667,0.025933333,0.083083333,0.08885,0.092283333,0.093933333,1.114387,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.676758333,0.6397965,0.646903667,0.661175167,0.578880667,0.439201833,0.368237167,0.330419833,0.947127,0.806939167,0.7679315,0.753297,-999,0.148833333,0.4215,1.413,1.506,0.039166667,0.109666667,0.117333333,0.3845,0.1095,2.5145,3.1135,0.612333333,62.14096517,35.331506,-119.000008,108,514,2
Bakersfield,6/9/13,Bakersfield-Airport (Planz),24.6,160,160.011094,0.305319,0.1513295,0.1226145,0.0994,1.3698875,0.3077,0.15405,0.119,0.10605,0.2338,0.07555,0.03755,0.02305,0.07395,0.0785,0.08145,0.083,1.4171265,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.6666785,0.6323995,0.6489825,0.6721475,0.591934,0.4446775,0.3608535,0.3146405,0.9684695,0.831124,0.789948,0.774826,-999,0.135,0.4685,1.5925,1.4405,0.029,0.1165,0.124,0.3555,0.1065,2.637,3.196,0.5835,57.2531185,35.331506,-119.000008,108,514,2
