"","Site_Name","Date","spec_Site_Name","Latitude","Longitude","State Name","Aluminum PM2.5 LC","Calcium PM2.5 LC","EC CSN_Rev Unadjusted PM2.5 LC TOR","EC PM2.5 LC TOR","Iron PM2.5 LC","OC PM2.5 LC TOR","Silicon PM2.5 LC","Sulfate PM2.5 LC","Titanium PM2.5 LC","Total Nitrate PM2.5 LC","Dust","Day_of_Year_mean","AOD_Coincident_Input[440nm]_mean","AOD_Coincident_Input[675nm]_mean","AOD_Coincident_Input[870nm]_mean","AOD_Coincident_Input[1020nm]_mean","Angstrom_Exponent_440-870nm_from_Coincident_Input_AOD_mean","AOD_Extinction-Total[440nm]_mean","AOD_Extinction-Total[675nm]_mean","AOD_Extinction-Total[870nm]_mean","AOD_Extinction-Total[1020nm]_mean","AOD_Extinction-Fine[440nm]_mean","AOD_Extinction-Fine[675nm]_mean","AOD_Extinction-Fine[870nm]_mean","AOD_Extinction-Fine[1020nm]_mean","AOD_Extinction-Coarse[440nm]_mean","AOD_Extinction-Coarse[675nm]_mean","AOD_Extinction-Coarse[870nm]_mean","AOD_Extinction-Coarse[1020nm]_mean","Extinction_Angstrom_Exponent_440-870nm-Total_mean","Single_Scattering_Albedo[440nm]_mean","Single_Scattering_Albedo[675nm]_mean","Single_Scattering_Albedo[870nm]_mean","Single_Scattering_Albedo[1020nm]_mean","Absorption_AOD[440nm]_mean","Absorption_AOD[675nm]_mean","Absorption_AOD[870nm]_mean","Absorption_AOD[1020nm]_mean","Absorption_Angstrom_Exponent_440-870nm_mean","Refractive_Index-Real_Part[440nm]_mean","Refractive_Index-Real_Part[675nm]_mean","Refractive_Index-Real_Part[870nm]_mean","Refractive_Index-Real_Part[1020nm]_mean","Refractive_Index-Imaginary_Part[440nm]_mean","Refractive_Index-Imaginary_Part[675nm]_mean","Refractive_Index-Imaginary_Part[870nm]_mean","Refractive_Index-Imaginary_Part[1020nm]_mean","Asymmetry_Factor-Total[440nm]_mean","Asymmetry_Factor-Total[675nm]_mean","Asymmetry_Factor-Total[870nm]_mean","Asymmetry_Factor-Total[1020nm]_mean","Asymmetry_Factor-Fine[440nm]_mean","Asymmetry_Factor-Fine[675nm]_mean","Asymmetry_Factor-Fine[870nm]_mean","Asymmetry_Factor-Fine[1020nm]_mean","Asymmetry_Factor-Coarse[440nm]_mean","Asymmetry_Factor-Coarse[675nm]_mean","Asymmetry_Factor-Coarse[870nm]_mean","Asymmetry_Factor-Coarse[1020nm]_mean","Elevation(m)_mean","Longitude(Degrees)_mean","Latitude(Degrees)_mean","Coincident_AOD440nm_mean","Solar_Zenith_Angle_for_Measurement_Start(Degrees)_mean","Std-C_mean","VMR-C_mean","REff-C_mean","VolC-C_mean","Std-F_mean","VMR-F_mean","REff-F_mean","VolC-F_mean","Std-T_mean","VolC-T_mean","REff-T_mean","VMR-T_mean","Sphericity_Factor(%)_mean","N","flag"
"1","Big_Meadows",2001-09-07,"Shenandoah NP - Big Meadows",38.5231,-78.43471,"Virginia",0,0.02036,NA,0.626,0.03136,NA,0,10.7262,0.01496,0.2464,0.1381004,250,0.262983,0.133375,0.086492,0.070065,1.631529,0.2639,0.1363,0.0844,0.0615,0.26,0.1323,0.0803,0.0573,0.0039,0.004,0.0041,0.0042,1.663866,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.735417,0.655625,0.595824,0.554573,0.73256,0.64981,0.584958,0.537382,1.048028,0.918841,0.864011,0.834863,1082,-78.436111,38.521944,0.262983,53.866979,0.58,3.328,2.836,0.007,0.491,0.199,0.177,0.037,1.13,0.043,0.206,0.305,-999,22,1
"2","Big_Meadows",2001-10-28,"Shenandoah NP - Big Meadows",38.5231,-78.43471,"Virginia",0,0.015,NA,0.154,0.01145,NA,0.05466,1.5417,0,0.5818,0.1882624,301,0.0570195,0.029097,0.011176,0.0276835,2.314466,0.0613,0.0317,0.02115,0.01645,0.0599,0.03015,0.01955,0.0148,0.00145,0.0015,0.0016,0.00165,1.5634575,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.6947455,0.5905115,0.5256015,0.4906295,0.6886125,0.576214,0.498639,0.4496875,1.1083045,0.9808885,0.9257885,0.899643,1082,-78.436111,38.521944,0.0570195,60.426951,0.687,3.284,2.5775,0.002,0.449,0.171,0.156,0.007,1.3495,0.009,0.1995,0.339,-999,22,1
"3","Big_Meadows",2001-10-31,"Shenandoah NP - Big Meadows",38.5231,-78.43471,"Virginia",0,0.04222,NA,0.676,0.06022,NA,0.11863,5.0638,0.01016,3.8023,0.5296501,304,0.163188,0.075718,0.045912,0.0464845,1.8621895,0.1637,0.07685,0.05,0.04,0.14945,0.0616,0.034,0.0236,0.01425,0.01525,0.016,0.0164,1.7513945,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.6730115,0.586319,0.554116,0.546651,0.654397,0.5335165,0.4490325,0.394349,0.9375605,0.833923,0.7937535,0.773008,1082,-78.436111,38.521944,0.163188,61.2883365,0.6805,2.891,2.2655,0.019,0.3985,0.1495,0.1385,0.019,1.5835,0.038,0.2615,0.6575,-999,22,1
"4","Big_Meadows",2001-11-03,"Shenandoah NP - Big Meadows",38.5231,-78.43471,"Virginia",NA,NA,NA,0.447,NA,NA,NA,3.4116,NA,1.4738,NA,307,0.1026275,0.0510645,0.0371845,0.0339905,1.540882,0.10325,0.0547,0.03515,0.02735,0.09735,0.0483,0.0285,0.02055,0.0059,0.0064,0.0067,0.0068,1.5690765,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.7031875,0.61532,0.570638,0.5464335,0.690029,0.580409,0.5011555,0.446828,0.9360285,0.845835,0.815899,0.796436,1082,-78.436111,38.521944,0.1026275,62.1209075,0.6765,2.62,2.088,0.006,0.404,0.175,0.1615,0.0115,1.3795,0.0175,0.2535,0.513,-999,22,1
"5","Big_Meadows",2001-11-06,"Shenandoah NP - Big Meadows",38.5231,-78.43471,"Virginia",0,0.02436,NA,0.221,0.01234,NA,0.05972,1.2491,0,0.6599,0.2182724,310,0.033697,0.017857,0.011103,0.017873,1.618206,0.0343,0.0202,0.0151,0.0131,0.0308,0.0164,0.0111,0.0091,0.0035,0.0038,0.0039,0.004,1.21077,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.688521,0.619448,0.582881,0.571176,0.664447,0.560152,0.478668,0.421472,1.003352,0.932214,0.89173,0.881182,1082,-78.436111,38.521944,0.033697,69.295816,0.777,3.091,2.194,0.004,0.41,0.159,0.147,0.003,1.603,0.007,0.315,0.869,-999,22,1
"6","Big_Meadows",2001-11-09,"Shenandoah NP - Big Meadows",38.5231,-78.43471,"Virginia",0,0.01878,NA,0.144,0.01048,NA,0.0699,1.6753,0,0.5506,0.230024,313,0.034703,0.020824,0.005668,0.019627,2.511646,0.0383,0.0195,0.0126,0.0096,0.0366,0.0177,0.0106,0.0076,0.0017,0.0018,0.0019,0.002,1.630201,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.662916,0.574329,0.528335,0.509936,0.654077,0.554561,0.489472,0.4482,0.951623,0.83329,0.784877,0.766588,1082,-78.436111,38.521944,0.034703,68.576165,0.76,2.299,1.753,0.002,0.45,0.161,0.147,0.004,1.347,0.006,0.204,0.364,-999,22,1
"7","Big_Meadows",2001-11-12,"Shenandoah NP - Big Meadows",38.5231,-78.43471,"Virginia",0,0.02547,NA,0.183,0.01588,NA,0.06134,2.0635,0,1.1124,0.2326823,316,0.026299,0.017781,0.00364,0.017751,2.700411,0.0295,0.0172,0.0119,0.0096,0.0277,0.0153,0.01,0.0075,0.0018,0.0019,0.002,0.002,1.328318,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.7027,0.61537,0.567182,0.544736,0.689827,0.58642,0.514086,0.466967,1.00054,0.914644,0.872803,0.85092,1082,-78.436111,38.521944,0.026299,68.787064,0.704,2.153,1.706,0.002,0.444,0.178,0.162,0.003,1.322,0.004,0.242,0.442,-999,22,1
"8","Big_Meadows",2001-11-15,"Shenandoah NP - Big Meadows",38.5231,-78.43471,"Virginia",0,0.03294,NA,0.693,0.03174,NA,0.12943,5.0148,0.00464,0.4313,0.4617853,319,0.113593,0.0551,0.0318,0.030459,1.854673,0.1142,0.0557,0.0343,0.0258,0.1088,0.05,0.0282,0.0196,0.0053,0.0057,0.0061,0.0063,1.760671,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.707797,0.624703,0.569232,0.537903,0.700808,0.606475,0.527907,0.469012,0.908032,0.817278,0.784332,0.768598,1082,-78.436111,38.521944,0.113593,70.658582,0.637,2.275,1.878,0.006,0.408,0.182,0.167,0.013,1.273,0.019,0.235,0.403,-999,22,1
"9","BONDVILLE",2001-03-11,"ISWS CLIMATE STATION",40.05278,-88.37251,"Illinois",0,0.02626,NA,0.46,0.03434,NA,0.05826,4.1168,0.0058,6.4912,0.282226,70,0.242973,0.118698666666667,0.0773316666666667,0.0569186666666667,1.68785433333333,0.2433,0.119433333333333,0.0758333333333333,0.0559666666666667,0.2381,0.114,0.0699666666666667,0.0497666666666667,0.00526666666666667,0.0055,0.00583333333333333,0.00616666666666667,1.71547266666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.719236666666667,0.635324666666667,0.578915666666667,0.548289,0.715771,0.627627,0.562662666666667,0.520087,0.946771,0.841249333333333,0.806868,0.796257666666667,212,-88.371944,40.053333,0.242973,68.510426,0.711333333333333,2.70966666666667,2.152,0.00666666666666667,0.490333333333333,0.188,0.168333333333333,0.0363333333333333,1.08733333333333,0.043,0.197666666666667,0.289,-999,1529,3
"10","BONDVILLE",2001-03-14,"ISWS CLIMATE STATION",40.05278,-88.37251,"Illinois",0,0.0203,NA,0.36,0.0215,NA,0.05346,2.2394,0.00507,2.8703,0.2280702,73,0.17479275,0.10758075,0.08384325,0.06869475,1.096152,0.175425,0.10825,0.08385,0.06825,0.1731,0.105825,0.081325,0.065675,0.00235,0.00245,0.002525,0.00255,1.1003735,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.71359925,0.65982425,0.611737,0.579239,0.71056175,0.65381325,0.600794,0.56313875,1.07972375,0.9939745,0.96096725,0.94054425,212,-88.371944,40.053333,0.17479275,65.6251215,0.73,2.85325,2.2575,0.00325,0.611,0.2025,0.16975,0.02225,1.0695,0.02575,0.19175,0.28125,-999,1529,3
