var,east,ranke
`ExtinctionAngstrom_Exponent_440870nm-Total`,0.110925823,16
AODExtinctionCoarse1020nm,0,37
AODExtinctionCoarse440nm,0.062862514,26
AODExtinctionCoarse675nm,0,36
AODExtinctionCoarse870nm,0.015161798,34
AODExtinctionFine1020nm,0.403770204,4
AODExtinctionFine440nm,0.531053703,3
AODExtinctionFine675nm,0.062722519,27
AODExtinctionFine870nm,1.064113966,1
AODExtinctionTotal1020nm,0.077895354,24
AODExtinctionTotal440nm,0.232163366,9
AODExtinctionTotal675nm,0.095917094,19
AODExtinctionTotal870nm,0.796261974,2
AsymmetryFactorCoarse1020nm,0.027331895,30
AsymmetryFactorCoarse440nm,0.132196503,13
AsymmetryFactorCoarse675nm,0.104712258,17
AsymmetryFactorCoarse870nm,0.024202173,31
AsymmetryFactorFine1020nm,0.081814611,22
AsymmetryFactorFine440nm,0.048208928,28
AsymmetryFactorFine675nm,0.068963128,25
AsymmetryFactorFine870nm,0.027401276,29
AsymmetryFactorTotal1020nm,0.221509538,10
AsymmetryFactorTotal440nm,0.118158049,14
AsymmetryFactorTotal675nm,0.291741287,7
AsymmetryFactorTotal870nm,0.154499718,11
REffC,0.020537288,33
REffF,0.012762388,35
REffT,0.078862148,23
StdC,0.11716526,15
StdF,0.292589602,6
StdT,0.151065861,12
VMRC,0.293642761,5
VMRF,0.02284794,32
VMRT,0.093629667,20
VolCC,0.238347646,8
VolCF,0.092864934,21
VolCT,0.102566965,18
