"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","`AOD_Extinction-Fine[440nm]`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","`AOD[870nm]`","`AOD[1020nm]`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","`AOD[870nm]`","`AOD[1020nm]`","`Asymmetry_Factor-Coarse[440nm]`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","`AOD[870nm]`","`AOD[1020nm]`","`Asymmetry_Factor-Coarse[870nm]`","`Asymmetry_Factor-Coarse[1020nm]`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","`AOD[870nm]`","`AOD[1020nm]`","`Asymmetry_Factor-Coarse[870nm]`","`Asymmetry_Factor-Coarse[1020nm]`","`Asymmetry_Factor-Coarse[675nm]`:`REff-C`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","`AOD[870nm]`","`AOD[1020nm]`","`AOD_Extinction-Coarse[440nm]`","`AOD_Extinction-Coarse[675nm]`","`Asymmetry_Factor-Coarse[675nm]`","`Asymmetry_Factor-Coarse[1020nm]`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","`AOD[870nm]`","`AOD[1020nm]`","`AOD_Extinction-Fine[1020nm]`","`AOD_Extinction-Coarse[440nm]`","`AOD_Extinction-Coarse[675nm]`","`Asymmetry_Factor-Coarse[675nm]`","`Asymmetry_Factor-Coarse[1020nm]`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","`AOD[870nm]`","`AOD_Extinction-Fine[1020nm]`","`AOD_Extinction-Coarse[440nm]`","`AOD_Extinction-Coarse[675nm]`","`Asymmetry_Factor-Fine[440nm]`","`Asymmetry_Factor-Coarse[675nm]`","`Asymmetry_Factor-Coarse[1020nm]`","`REff-F`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","`AOD[870nm]`","`AOD[1020nm]`","`AOD_Extinction-Coarse[440nm]`","`AOD_Extinction-Coarse[675nm]`","`Asymmetry_Factor-Fine[1020nm]`","`Asymmetry_Factor-Coarse[675nm]`","`REff-F`:`440-675_Angstrom_Exponent`","`Asymmetry_Factor-Fine[675nm]`:`440-675_Angstrom_Exponent`","`Asymmetry_Factor-Fine[675nm]`:`REff-F`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","`AOD[870nm]`","`AOD[1020nm]`","`AOD_Extinction-Fine[1020nm]`","`AOD_Extinction-Coarse[440nm]`","`AOD_Extinction-Coarse[675nm]`","`Asymmetry_Factor-Fine[870nm]`","`Asymmetry_Factor-Fine[1020nm]`","`Asymmetry_Factor-Coarse[870nm]`","`Asymmetry_Factor-Coarse[1020nm]`","`REff-F`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
